fx|fy|penalty|alpha|iter|ee|ev|verdaderos_negativos|falsos_negativos|falsos_positivos|verdaderos_positivos
mean radius|mean smoothness|None|1e-05|10|0.3675|0.3905325443786982|146|0|253|1
mean radius|mean smoothness|None|1e-05|100|0.775|0.7810650887573964|138|8|82|172
mean radius|mean smoothness|None|1e-05|1000|0.835|0.863905325443787|130|16|50|204
mean radius|mean smoothness|None|0.001|10|0.3675|0.3905325443786982|146|0|253|1
mean radius|mean smoothness|None|0.001|100|0.775|0.7810650887573964|138|8|82|172
mean radius|mean smoothness|None|0.001|1000|0.835|0.863905325443787|130|16|50|204
mean radius|mean smoothness|None|0.1|10|0.3675|0.3905325443786982|146|0|253|1
mean radius|mean smoothness|None|0.1|100|0.775|0.7810650887573964|138|8|82|172
mean radius|mean smoothness|None|0.1|1000|0.835|0.863905325443787|130|16|50|204
mean radius|mean smoothness|None|10.0|10|0.3675|0.3905325443786982|146|0|253|1
mean radius|mean smoothness|None|10.0|100|0.775|0.7810650887573964|138|8|82|172
mean radius|mean smoothness|None|10.0|1000|0.835|0.863905325443787|130|16|50|204
mean radius|mean smoothness|l1|1e-05|10|0.3675|0.3905325443786982|146|0|253|1
mean radius|mean smoothness|l1|1e-05|100|0.775|0.7810650887573964|138|8|82|172
mean radius|mean smoothness|l1|1e-05|1000|0.835|0.863905325443787|130|16|50|204
mean radius|mean smoothness|l1|0.001|10|0.3675|0.3905325443786982|146|0|253|1
mean radius|mean smoothness|l1|0.001|100|0.7775|0.7810650887573964|138|8|81|173
mean radius|mean smoothness|l1|0.001|1000|0.8775|0.9053254437869822|112|34|15|239
mean radius|mean smoothness|l1|0.1|10|0.3675|0.3905325443786982|146|0|253|1
mean radius|mean smoothness|l1|0.1|100|0.7075|0.7041420118343196|142|4|113|141
mean radius|mean smoothness|l1|0.1|1000|0.6975|0.6745562130177515|143|3|118|136
mean radius|mean smoothness|l1|10.0|10|0.365|0.3905325443786982|146|0|254|0
mean radius|mean smoothness|l1|10.0|100|0.365|0.3905325443786982|146|0|254|0
mean radius|mean smoothness|l1|10.0|1000|0.365|0.3905325443786982|146|0|254|0
mean radius|mean smoothness|l2|1e-05|10|0.3675|0.3905325443786982|146|0|253|1
mean radius|mean smoothness|l2|1e-05|100|0.7775|0.7810650887573964|138|8|81|173
mean radius|mean smoothness|l2|1e-05|1000|0.855|0.8816568047337278|96|50|8|246
mean radius|mean smoothness|l2|0.001|10|0.3675|0.3905325443786982|146|0|253|1
mean radius|mean smoothness|l2|0.001|100|0.715|0.727810650887574|140|6|108|146
mean radius|mean smoothness|l2|0.001|1000|0.7125|0.727810650887574|140|6|109|145
mean radius|mean smoothness|l2|0.1|10|0.365|0.3905325443786982|146|0|254|0
mean radius|mean smoothness|l2|0.1|100|0.365|0.3905325443786982|146|0|254|0
mean radius|mean smoothness|l2|0.1|1000|0.365|0.3905325443786982|146|0|254|0
mean radius|mean smoothness|l2|10.0|10|0.365|0.3905325443786982|146|0|254|0
mean radius|mean smoothness|l2|10.0|100|0.365|0.3905325443786982|146|0|254|0
mean radius|mean smoothness|l2|10.0|1000|0.365|0.3905325443786982|146|0|254|0
mean radius|mean smoothness|elasticnet|1e-05|10|0.3675|0.3905325443786982|146|0|253|1
mean radius|mean smoothness|elasticnet|1e-05|100|0.7775|0.7810650887573964|138|8|81|173
mean radius|mean smoothness|elasticnet|1e-05|1000|0.855|0.8816568047337278|96|50|8|246
mean radius|mean smoothness|elasticnet|0.001|10|0.3675|0.3905325443786982|146|0|253|1
mean radius|mean smoothness|elasticnet|0.001|100|0.715|0.727810650887574|140|6|108|146
mean radius|mean smoothness|elasticnet|0.001|1000|0.7125|0.727810650887574|140|6|109|145
mean radius|mean smoothness|elasticnet|0.1|10|0.365|0.3905325443786982|146|0|254|0
mean radius|mean smoothness|elasticnet|0.1|100|0.365|0.3905325443786982|146|0|254|0
mean radius|mean smoothness|elasticnet|0.1|1000|0.365|0.3905325443786982|146|0|254|0
mean radius|mean smoothness|elasticnet|10.0|10|0.365|0.3905325443786982|146|0|254|0
mean radius|mean smoothness|elasticnet|10.0|100|0.365|0.3905325443786982|146|0|254|0
mean radius|mean smoothness|elasticnet|10.0|1000|0.365|0.3905325443786982|146|0|254|0
mean radius|worst symmetry|None|1e-05|10|0.3675|0.3905325443786982|146|0|253|1
mean radius|worst symmetry|None|1e-05|100|0.7725|0.7810650887573964|138|8|83|171
mean radius|worst symmetry|None|1e-05|1000|0.8325|0.863905325443787|130|16|51|203
mean radius|worst symmetry|None|0.001|10|0.3675|0.3905325443786982|146|0|253|1
mean radius|worst symmetry|None|0.001|100|0.7725|0.7810650887573964|138|8|83|171
mean radius|worst symmetry|None|0.001|1000|0.8325|0.863905325443787|130|16|51|203
mean radius|worst symmetry|None|0.1|10|0.3675|0.3905325443786982|146|0|253|1
mean radius|worst symmetry|None|0.1|100|0.7725|0.7810650887573964|138|8|83|171
mean radius|worst symmetry|None|0.1|1000|0.8325|0.863905325443787|130|16|51|203
mean radius|worst symmetry|None|10.0|10|0.3675|0.3905325443786982|146|0|253|1
mean radius|worst symmetry|None|10.0|100|0.7725|0.7810650887573964|138|8|83|171
mean radius|worst symmetry|None|10.0|1000|0.8325|0.863905325443787|130|16|51|203
mean radius|worst symmetry|l1|1e-05|10|0.3675|0.3905325443786982|146|0|253|1
mean radius|worst symmetry|l1|1e-05|100|0.7775|0.7810650887573964|138|8|81|173
mean radius|worst symmetry|l1|1e-05|1000|0.8825|0.9053254437869822|110|36|11|243
mean radius|worst symmetry|l1|0.001|10|0.3675|0.3905325443786982|146|0|253|1
mean radius|worst symmetry|l1|0.001|100|0.785|0.7869822485207101|138|8|78|176
mean radius|worst symmetry|l1|0.001|1000|0.8325|0.863905325443787|129|17|50|204
mean radius|worst symmetry|l1|0.1|10|0.3675|0.3905325443786982|146|0|253|1
mean radius|worst symmetry|l1|0.1|100|0.7075|0.7041420118343196|142|4|113|141
mean radius|worst symmetry|l1|0.1|1000|0.6975|0.6745562130177515|143|3|118|136
mean radius|worst symmetry|l1|10.0|10|0.365|0.3905325443786982|146|0|254|0
mean radius|worst symmetry|l1|10.0|100|0.365|0.3905325443786982|146|0|254|0
mean radius|worst symmetry|l1|10.0|1000|0.365|0.3905325443786982|146|0|254|0
mean radius|worst symmetry|l2|1e-05|10|0.3675|0.3905325443786982|146|0|253|1
mean radius|worst symmetry|l2|1e-05|100|0.785|0.7869822485207101|138|8|78|176
mean radius|worst symmetry|l2|1e-05|1000|0.8325|0.863905325443787|129|17|50|204
mean radius|worst symmetry|l2|0.001|10|0.3675|0.3905325443786982|146|0|253|1
mean radius|worst symmetry|l2|0.001|100|0.715|0.727810650887574|140|6|108|146
mean radius|worst symmetry|l2|0.001|1000|0.715|0.727810650887574|140|6|108|146
mean radius|worst symmetry|l2|0.1|10|0.365|0.3905325443786982|146|0|254|0
mean radius|worst symmetry|l2|0.1|100|0.365|0.3905325443786982|146|0|254|0
mean radius|worst symmetry|l2|0.1|1000|0.365|0.3905325443786982|146|0|254|0
mean radius|worst symmetry|l2|10.0|10|0.365|0.3905325443786982|146|0|254|0
mean radius|worst symmetry|l2|10.0|100|0.365|0.3905325443786982|146|0|254|0
mean radius|worst symmetry|l2|10.0|1000|0.365|0.3905325443786982|146|0|254|0
mean radius|worst symmetry|elasticnet|1e-05|10|0.3675|0.3905325443786982|146|0|253|1
mean radius|worst symmetry|elasticnet|1e-05|100|0.785|0.7869822485207101|138|8|78|176
mean radius|worst symmetry|elasticnet|1e-05|1000|0.8325|0.863905325443787|129|17|50|204
mean radius|worst symmetry|elasticnet|0.001|10|0.3675|0.3905325443786982|146|0|253|1
mean radius|worst symmetry|elasticnet|0.001|100|0.715|0.727810650887574|140|6|108|146
mean radius|worst symmetry|elasticnet|0.001|1000|0.715|0.727810650887574|140|6|108|146
mean radius|worst symmetry|elasticnet|0.1|10|0.365|0.3905325443786982|146|0|254|0
mean radius|worst symmetry|elasticnet|0.1|100|0.365|0.3905325443786982|146|0|254|0
mean radius|worst symmetry|elasticnet|0.1|1000|0.365|0.3905325443786982|146|0|254|0
mean radius|worst symmetry|elasticnet|10.0|10|0.365|0.3905325443786982|146|0|254|0
mean radius|worst symmetry|elasticnet|10.0|100|0.365|0.3905325443786982|146|0|254|0
mean radius|worst symmetry|elasticnet|10.0|1000|0.365|0.3905325443786982|146|0|254|0
mean radius|mean compactness|None|1e-05|10|0.3675|0.3905325443786982|146|0|253|1
mean radius|mean compactness|None|1e-05|100|0.7475|0.7396449704142012|142|4|97|157
mean radius|mean compactness|None|1e-05|1000|0.8725|0.8757396449704142|137|9|42|212
mean radius|mean compactness|None|0.001|10|0.3675|0.3905325443786982|146|0|253|1
mean radius|mean compactness|None|0.001|100|0.7475|0.7396449704142012|142|4|97|157
mean radius|mean compactness|None|0.001|1000|0.8725|0.8757396449704142|137|9|42|212
mean radius|mean compactness|None|0.1|10|0.3675|0.3905325443786982|146|0|253|1
mean radius|mean compactness|None|0.1|100|0.7475|0.7396449704142012|142|4|97|157
mean radius|mean compactness|None|0.1|1000|0.8725|0.8757396449704142|137|9|42|212
mean radius|mean compactness|None|10.0|10|0.3675|0.3905325443786982|146|0|253|1
mean radius|mean compactness|None|10.0|100|0.7475|0.7396449704142012|142|4|97|157
mean radius|mean compactness|None|10.0|1000|0.8725|0.8757396449704142|137|9|42|212
mean radius|mean compactness|l1|1e-05|10|0.3675|0.3905325443786982|146|0|253|1
mean radius|mean compactness|l1|1e-05|100|0.78|0.7692307692307693|140|6|82|172
mean radius|mean compactness|l1|1e-05|1000|0.875|0.893491124260355|135|11|39|215
mean radius|mean compactness|l1|0.001|10|0.3675|0.3905325443786982|146|0|253|1
mean radius|mean compactness|l1|0.001|100|0.7775|0.7751479289940828|139|7|82|172
mean radius|mean compactness|l1|0.001|1000|0.87|0.8757396449704142|135|11|41|213
mean radius|mean compactness|l1|0.1|10|0.3675|0.3905325443786982|146|0|253|1
mean radius|mean compactness|l1|0.1|100|0.7075|0.7041420118343196|142|4|113|141
mean radius|mean compactness|l1|0.1|1000|0.6975|0.6745562130177515|143|3|118|136
mean radius|mean compactness|l1|10.0|10|0.365|0.3905325443786982|146|0|254|0
mean radius|mean compactness|l1|10.0|100|0.365|0.3905325443786982|146|0|254|0
mean radius|mean compactness|l1|10.0|1000|0.365|0.3905325443786982|146|0|254|0
mean radius|mean compactness|l2|1e-05|10|0.3675|0.3905325443786982|146|0|253|1
mean radius|mean compactness|l2|1e-05|100|0.7625|0.757396449704142|140|6|89|165
mean radius|mean compactness|l2|1e-05|1000|0.8275|0.834319526627219|134|12|57|197
mean radius|mean compactness|l2|0.001|10|0.775|0.7810650887573964|138|8|82|172
mean radius|mean compactness|l2|0.001|100|0.7225|0.727810650887574|140|6|105|149
mean radius|mean compactness|l2|0.001|1000|0.7125|0.7218934911242604|141|5|110|144
mean radius|mean compactness|l2|0.1|10|0.365|0.3905325443786982|146|0|254|0
mean radius|mean compactness|l2|0.1|100|0.365|0.3905325443786982|146|0|254|0
mean radius|mean compactness|l2|0.1|1000|0.365|0.3905325443786982|146|0|254|0
mean radius|mean compactness|l2|10.0|10|0.365|0.3905325443786982|146|0|254|0
mean radius|mean compactness|l2|10.0|100|0.365|0.3905325443786982|146|0|254|0
mean radius|mean compactness|l2|10.0|1000|0.365|0.3905325443786982|146|0|254|0
mean radius|mean compactness|elasticnet|1e-05|10|0.3675|0.3905325443786982|146|0|253|1
mean radius|mean compactness|elasticnet|1e-05|100|0.7625|0.757396449704142|140|6|89|165
mean radius|mean compactness|elasticnet|1e-05|1000|0.8275|0.834319526627219|134|12|57|197
mean radius|mean compactness|elasticnet|0.001|10|0.775|0.7810650887573964|138|8|82|172
mean radius|mean compactness|elasticnet|0.001|100|0.7225|0.727810650887574|140|6|105|149
mean radius|mean compactness|elasticnet|0.001|1000|0.7125|0.7218934911242604|141|5|110|144
mean radius|mean compactness|elasticnet|0.1|10|0.365|0.3905325443786982|146|0|254|0
mean radius|mean compactness|elasticnet|0.1|100|0.365|0.3905325443786982|146|0|254|0
mean radius|mean compactness|elasticnet|0.1|1000|0.365|0.3905325443786982|146|0|254|0
mean radius|mean compactness|elasticnet|10.0|10|0.365|0.3905325443786982|146|0|254|0
mean radius|mean compactness|elasticnet|10.0|100|0.365|0.3905325443786982|146|0|254|0
mean radius|mean compactness|elasticnet|10.0|1000|0.365|0.3905325443786982|146|0|254|0
mean radius|worst texture|None|1e-05|10|0.42|0.44970414201183434|146|0|232|22
mean radius|worst texture|None|1e-05|100|0.7375|0.7514792899408284|139|7|98|156
mean radius|worst texture|None|1e-05|1000|0.8175|0.8520710059171598|131|15|58|196
mean radius|worst texture|None|0.001|10|0.42|0.44970414201183434|146|0|232|22
mean radius|worst texture|None|0.001|100|0.7375|0.7514792899408284|139|7|98|156
mean radius|worst texture|None|0.001|1000|0.8175|0.8520710059171598|131|15|58|196
mean radius|worst texture|None|0.1|10|0.42|0.44970414201183434|146|0|232|22
mean radius|worst texture|None|0.1|100|0.7375|0.7514792899408284|139|7|98|156
mean radius|worst texture|None|0.1|1000|0.8175|0.8520710059171598|131|15|58|196
mean radius|worst texture|None|10.0|10|0.42|0.44970414201183434|146|0|232|22
mean radius|worst texture|None|10.0|100|0.7375|0.7514792899408284|139|7|98|156
mean radius|worst texture|None|10.0|1000|0.8175|0.8520710059171598|131|15|58|196
mean radius|worst texture|l1|1e-05|10|0.415|0.4319526627218935|146|0|234|20
mean radius|worst texture|l1|1e-05|100|0.7725|0.7692307692307693|138|8|83|171
mean radius|worst texture|l1|1e-05|1000|0.845|0.8698224852071006|129|17|45|209
mean radius|worst texture|l1|0.001|10|0.4225|0.46153846153846156|146|0|231|23
mean radius|worst texture|l1|0.001|100|0.7525|0.7692307692307693|138|8|91|163
mean radius|worst texture|l1|0.001|1000|0.845|0.863905325443787|129|17|45|209
mean radius|worst texture|l1|0.1|10|0.7925|0.7869822485207101|138|8|75|179
mean radius|worst texture|l1|0.1|100|0.6975|0.6745562130177515|143|3|118|136
mean radius|worst texture|l1|0.1|1000|0.7075|0.7100591715976331|142|4|113|141
mean radius|worst texture|l1|10.0|10|0.365|0.3905325443786982|146|0|254|0
mean radius|worst texture|l1|10.0|100|0.365|0.3905325443786982|146|0|254|0
mean radius|worst texture|l1|10.0|1000|0.365|0.3905325443786982|146|0|254|0
mean radius|worst texture|l2|1e-05|10|0.415|0.4319526627218935|146|0|234|20
mean radius|worst texture|l2|1e-05|100|0.7475|0.7751479289940828|138|8|93|161
mean radius|worst texture|l2|1e-05|1000|0.84|0.8579881656804734|129|17|47|207
mean radius|worst texture|l2|0.001|10|0.375|0.3905325443786982|146|0|250|4
mean radius|worst texture|l2|0.001|100|0.72|0.7337278106508875|140|6|106|148
mean radius|worst texture|l2|0.001|1000|0.775|0.7869822485207101|138|8|82|172
mean radius|worst texture|l2|0.1|10|0.365|0.3905325443786982|146|0|254|0
mean radius|worst texture|l2|0.1|100|0.365|0.3905325443786982|146|0|254|0
mean radius|worst texture|l2|0.1|1000|0.365|0.3905325443786982|146|0|254|0
mean radius|worst texture|l2|10.0|10|0.365|0.3905325443786982|146|0|254|0
mean radius|worst texture|l2|10.0|100|0.365|0.3905325443786982|146|0|254|0
mean radius|worst texture|l2|10.0|1000|0.365|0.3905325443786982|146|0|254|0
mean radius|worst texture|elasticnet|1e-05|10|0.415|0.4319526627218935|146|0|234|20
mean radius|worst texture|elasticnet|1e-05|100|0.7475|0.7751479289940828|138|8|93|161
mean radius|worst texture|elasticnet|1e-05|1000|0.84|0.8579881656804734|129|17|47|207
mean radius|worst texture|elasticnet|0.001|10|0.375|0.3905325443786982|146|0|250|4
mean radius|worst texture|elasticnet|0.001|100|0.72|0.7337278106508875|140|6|106|148
mean radius|worst texture|elasticnet|0.001|1000|0.775|0.7869822485207101|138|8|82|172
mean radius|worst texture|elasticnet|0.1|10|0.365|0.3905325443786982|146|0|254|0
mean radius|worst texture|elasticnet|0.1|100|0.365|0.3905325443786982|146|0|254|0
mean radius|worst texture|elasticnet|0.1|1000|0.365|0.3905325443786982|146|0|254|0
mean radius|worst texture|elasticnet|10.0|10|0.365|0.3905325443786982|146|0|254|0
mean radius|worst texture|elasticnet|10.0|100|0.365|0.3905325443786982|146|0|254|0
mean radius|worst texture|elasticnet|10.0|1000|0.365|0.3905325443786982|146|0|254|0
mean radius|mean perimeter|None|1e-05|10|0.365|0.3905325443786982|146|0|254|0
mean radius|mean perimeter|None|1e-05|100|0.365|0.3905325443786982|146|0|254|0
mean radius|mean perimeter|None|1e-05|1000|0.5275|0.47337278106508873|146|0|189|65
mean radius|mean perimeter|None|0.001|10|0.365|0.3905325443786982|146|0|254|0
mean radius|mean perimeter|None|0.001|100|0.365|0.3905325443786982|146|0|254|0
mean radius|mean perimeter|None|0.001|1000|0.5275|0.47337278106508873|146|0|189|65
mean radius|mean perimeter|None|0.1|10|0.365|0.3905325443786982|146|0|254|0
mean radius|mean perimeter|None|0.1|100|0.365|0.3905325443786982|146|0|254|0
mean radius|mean perimeter|None|0.1|1000|0.5275|0.47337278106508873|146|0|189|65
mean radius|mean perimeter|None|10.0|10|0.365|0.3905325443786982|146|0|254|0
mean radius|mean perimeter|None|10.0|100|0.365|0.3905325443786982|146|0|254|0
mean radius|mean perimeter|None|10.0|1000|0.5275|0.47337278106508873|146|0|189|65
mean radius|mean perimeter|l1|1e-05|10|0.365|0.3905325443786982|146|0|254|0
mean radius|mean perimeter|l1|1e-05|100|0.365|0.3905325443786982|146|0|254|0
mean radius|mean perimeter|l1|1e-05|1000|0.4275|0.4378698224852071|146|0|229|25
mean radius|mean perimeter|l1|0.001|10|0.365|0.3905325443786982|146|0|254|0
mean radius|mean perimeter|l1|0.001|100|0.365|0.3905325443786982|146|0|254|0
mean radius|mean perimeter|l1|0.001|1000|0.4275|0.4437869822485207|146|0|229|25
mean radius|mean perimeter|l1|0.1|10|0.365|0.3905325443786982|146|0|254|0
mean radius|mean perimeter|l1|0.1|100|0.365|0.3905325443786982|146|0|254|0
mean radius|mean perimeter|l1|0.1|1000|0.8775|0.9112426035502958|106|40|9|245
mean radius|mean perimeter|l1|10.0|10|0.365|0.3905325443786982|146|0|254|0
mean radius|mean perimeter|l1|10.0|100|0.365|0.3905325443786982|146|0|254|0
mean radius|mean perimeter|l1|10.0|1000|0.365|0.3905325443786982|146|0|254|0
mean radius|mean perimeter|l2|1e-05|10|0.365|0.3905325443786982|146|0|254|0
